"repo_name","proposed_figma_name","status","confidence","notes"
"lock","lock-simple","renamed_high_confidence","high",""
"log","log","exact_name_match","high",""
"login","signin","renamed_high_confidence","high",""
"magnifying-glass-minus","magnifying-glass-minus","exact_name_match","high",""
"mail","envelope","renamed_high_confidence","high",""
"map","map-trifold","renamed_high_confidence","high",""
"map-pin-area","map-pin-area","exact_name_match","high",""
"marker","map-pin","renamed_high_confidence","high",""
"medal","medal","exact_name_match","high",""
"medium-logo","medium-logo","exact_name_match","high",""
"message","chat-circle-dots","renamed_high_confidence","high",""
"microphone","microphone","exact_name_match","high",""
"microscope","microscope","exact_name_match","high",""
"minus","minus","exact_name_match","high",""
"moped","moped","exact_name_match","high",""
"mosquito","mosquito","exact_name_match","high",""
"motorcycle","motorcycle","exact_name_match","high",""
"mountains","mountains","exact_name_match","high",""
"neurodivergence","neurodivergence","exact_name_match","high",""
"open-now","open-now","exact_name_match","high",""
"p-rescription","prescription","renamed_high_confidence","high",""
"paperclip","paperclip","exact_name_match","high",""
"park","park","exact_name_match","high",""
"password","key","renamed_high_confidence","high",""
"paw-print","paw-print","exact_name_match","high",""
"pencil-ruler","pencil-ruler","exact_name_match","high",""
"person-simple-bike","person-simple-bike","exact_name_match","high",""
"person-simple-circle","person-simple-circle","exact_name_match","high",""
"person-simple-hike","person-simple-hike","exact_name_match","high",""
"person-simple-ski","person-simple-ski","exact_name_match","high",""
"person-simple-swim","person-simple-swim","exact_name_match","high",""
"phone","phone-call","renamed_high_confidence","high",""
"picnic-table","picnic-table","exact_name_match","high",""
"pin","push-pin","renamed_high_confidence","high",""
"play","play","exact_name_match","high",""
"plus","plus","exact_name_match","high",""
"plus-circle","plus-circle","exact_name_match","high",""
"police-car","police-car","exact_name_match","high",""
"presentation-chart","presentation-chart","exact_name_match","high",""
"profile","user","renamed_high_confidence","high",""
"public-transportation","public-transportation","exact_name_match","high",""
"question","question","exact_name_match","high",""
"quote","quotes","renamed_high_confidence","high",""
"report","report","exact_name_match","high",""
"restore","arrows-counter-clockwise","renamed_high_confidence","high",""
"sailboat","sailboat","exact_name_match","high",""
"scales","scales","exact_name_match","high",""
"school-bus","school-bus","exact_name_match","high",""
"scooter","scooter","exact_name_match","high",""
"screencast","screencast","exact_name_match","high",""
"scroll","scroll","exact_name_match","high",""
"search","magnifying-glass","renamed_high_confidence","high",""
"settings","gear","renamed_high_confidence","high",""
"share","share","exact_name_match","high",""
"share-fat","share-fat","exact_name_match","high",""
"shield-check","shield-check","exact_name_match","high",""
"shield-star","shield-star","exact_name_match","high",""
"shopping-cart","shopping-cart","exact_name_match","high",""
"sign-language","sign-language","exact_name_match","high",""
"signature","signature","exact_name_match","high",""
"slack-logo","slack-logo","exact_name_match","high",""
"sliders","sliders","exact_name_match","high",""
"sliders-horizontal","sliders-horizontal","exact_name_match","high",""
"snow-plow","snow-plow","exact_name_match","high",""
"stack","stack","exact_name_match","high",""
"stack-minus","stack-minus","exact_name_match","high",""
"stack-plus","stack-plus","exact_name_match","high",""
"stairs","stairs","exact_name_match","high",""
"star","star","exact_name_match","high",""
"student","student","exact_name_match","high",""
"subway","subway","exact_name_match","high",""
"swimming-pool","swimming-pool","exact_name_match","high",""
"syringe","syringe","exact_name_match","high",""
"taxi","taxi","exact_name_match","high",""
"tent","tent","exact_name_match","high",""
"test-tube","test-tube","exact_name_match","high",""
"threads-logo","threads-logo","exact_name_match","high",""
"thumbs-down","thumbs-down","exact_name_match","high",""
"thumbs-up","thumbs-up","exact_name_match","high",""
"traffic-cone","traffic-cone","exact_name_match","high",""
"traffic-signal","traffic-signal","exact_name_match","high",""
"train","train","exact_name_match","high",""
"train-regional","train-regional","exact_name_match","high",""
"transit","transit","exact_name_match","high",""
"trash","trash","exact_name_match","high",""
"tree","tree","exact_name_match","high",""
"tree-evergreen","tree-evergreen","exact_name_match","high",""
"truck","truck","exact_name_match","high",""
"truck-trailer","truck-trailer","exact_name_match","high",""
"unlock","lock-simple-open","renamed_high_confidence","high",""
"upload-simple","upload-simple","exact_name_match","high",""
"user-gear","user-gear","exact_name_match","high",""
"user-plus","user-plus","exact_name_match","high",""
"van","van","exact_name_match","high",""
"video","video","exact_name_match","high",""
"vimeo-logo","vimeo-logo","exact_name_match","high",""
"virus","virus","exact_name_match","high",""
"wait-time","clock-counter-clockwise","renamed_needs_review","medium",""
"warning","warning","exact_name_match","high",""
"waves","waves","exact_name_match","high",""
"wheelchair","wheelchair-motion","renamed_high_confidence","high",""
"wifi","wifi-medium","renamed_high_confidence","high",""
"wrench","wrench","exact_name_match","high",""
"x-logo","x-logo","exact_name_match","high",""
"youtube-logo","youtube-logo","exact_name_match","high",""
"zoomin","magnifying-glass-plus","renamed_high_confidence","high",""
"","arrow-elbow-down-right","figma_only_new_or_unmapped","n/a","ArrowElbowDownRight"
"","braille","figma_only_new_or_unmapped","n/a","Braille"
"","caret-double-right","figma_only_new_or_unmapped","n/a","CaretDoubleRight"
"","file-arrow-down","figma_only_new_or_unmapped","n/a","FileArrowDown"
"","funnel","figma_only_new_or_unmapped","n/a","Funnel"
"","moon","figma_only_new_or_unmapped","n/a","Moon"
"","pencil-simple","figma_only_new_or_unmapped","n/a","PencilSimple"
"","prohibit","figma_only_new_or_unmapped","n/a","Prohibit"
"","receipt","figma_only_new_or_unmapped","n/a","Receipt"
"","signout","figma_only_new_or_unmapped","n/a","Signout"
"","smiley","figma_only_new_or_unmapped","n/a","Smiley"
"","sun","figma_only_new_or_unmapped","n/a","Sun"
"","translate","figma_only_new_or_unmapped","n/a","Translate"
